District ID,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030
29,17450.0,10481.714285714286,11366.0,13072.0,13192.452380952382,9575.42857142857,9277.08833333333,9130.882499659869,8883.535682541667,8657.727838532874
30,19375.0,11352.285714285714,12637.5,14110.333333333334,14814.853174603173,10613.142857142857,11814.706190476192,11962.466059183675,11665.227208335462,11574.062824789513
31,20800.0,11903.57142857143,14743.5,14203.833333333334,15888.650793650793,10442.42857142857,12106.107857142853,12385.725915646262,12018.97094628614,11884.70881394665
32,18195.0,10999.0,12138.5,14016.166666666666,13906.444444444445,10643.857142857143,10456.504285714285,10495.99271938775,10188.05080103529,9970.280715104851
33,16995.0,10348.142857142857,11234.0,13411.666666666666,13318.63492063492,9990.142857142857,9677.520238095238,9440.22986870748,9323.205090841415,9179.72510767926
34,18034.0,10745.857142857143,10895.5,12893.833333333334,13000.531746031746,9200.42857142857,9009.629285714282,8604.360236394556,8305.958461233844,8117.468596333921
35,20057.0,10951.714285714286,12682.5,13159.5,14384.619047619048,9686.857142857143,10134.670000000002,10488.959963605443,10092.785605143703,9839.91986625686
36,19917.0,11830.142857142857,14815.0,15301.166666666666,16153.38492063492,11898.42857142857,13340.90857142857,13308.994226870756,12648.230930061223,12314.975403709497
37,17246.0,11152.857142857143,14208.0,16268.0,16421.309523809523,14947.0,14058.4469047619,13777.546951360555,13640.732841385628,13361.79581489328
38,17917.0,11020.857142857143,14094.5,15922.333333333334,15629.281746031746,12586.57142857143,13160.926904761907,13036.44451054423,12618.43025586607,12314.726918959728
39,20007.0,11759.714285714286,15288.5,15858.333333333334,16915.757936507936,13075.142857142857,13656.554047619044,13559.730226870754,12869.168791978314,12675.490963666398
40,20102.0,12785.285714285714,15418.0,16888.666666666668,17464.825396825396,14466.285714285714,14249.338333333324,13873.078569047628,13487.657099204933,13177.901843215115
41,18410.0,9818.142857142857,12673.0,13056.333333333334,14235.412698412698,9886.857142857143,10086.51261904762,10028.946108843536,9828.06416032143,9574.77686124586
42,17845.0,11311.142857142857,12486.0,14871.5,14787.27380952381,12210.57142857143,12887.807380952383,12692.351103401368,12001.07877264541,11795.58286022162
43,19328.0,12772.42857142857,18112.5,19270.333333333332,19652.376984126982,18487.85714285714,17263.44619047617,16546.042996598637,15976.64660921089,15447.116150426526
44,14641.0,8672.42857142857,9286.5,10821.666666666666,11013.765873015873,8079.571428571428,7694.6135714285765,7171.447672789118,6998.229214570574,6910.785261111463
45,24788.0,15227.42857142857,23018.5,22632.333333333332,23075.210317460314,20283.428571428572,19637.138095238097,19001.519231632647,18310.715067730864,17762.911784125703
46,15807.0,9972.57142857143,11582.5,13749.833333333334,13717.650793650791,11527.714285714286,10970.527142857145,10613.787867346948,10187.02795454592,9940.950027479046
47,15862.0,9492.142857142857,13079.5,14058.166666666666,14639.801587301588,12152.285714285714,12847.391428571433,11932.758649319736,11750.133272184099,11562.751066263254
48,16138.0,8076.428571428572,10441.0,11021.333333333334,11818.293650793652,7594.142857142857,7644.034999999996,7318.146228231296,7125.804767468534,7049.761190804663
49,20656.0,10629.42857142857,14642.0,13367.666666666666,15471.682539682542,10018.857142857143,11577.043571428572,11762.599897278913,11692.440874721939,11594.393976247746
50,20402.0,10666.285714285714,12762.0,13148.0,14301.380952380952,9236.714285714286,10054.402857142859,10209.25057210884,9905.76719391582,9685.827522899946
